id,priority,category
U100223,5264,2
U100224,20504,2
U100225,1870,1
U100226,11964,2
U100227,11179,2
U100228,6506,1
U100229,6405,1
U100230,2152,2
U100231,20757,2
U100232,6776,2
U100233,8955,1
U100234,13175,1
U100235,6207,1
U100236,4214,1
U100237,7404,1
U100238,19366,2
U100239,20462,2
U100240,1717,2
U100241,13184,1
U100242,2450,2
U100243,20570,1
U100244,12718,1
U100245,8138,1
U100246,15477,2
U100247,9881,1
U100248,19503,2
U100249,19872,2
U100250,5699,2
U100251,3653,1
U100252,13167,2
U100253,8157,2
U100254,15781,2
U100255,20740,2
U100256,7379,2
U100257,20473,1
U100258,17014,1
U100259,5419,2
U100260,13238,2
U100261,8361,1
U100262,16962,2
U100263,14060,1
U100264,15495,2
U100265,2149,2
U100266,2289,2
U100267,9246,2
U100268,20146,1
U100269,20434,2
U100270,17242,2
U100271,18076,2
U100272,4160,2
U100273,11470,1
U100274,19401,2
U100275,8633,2
U100276,19802,2
U100277,9639,2
U100278,7042,1
U100279,5266,1
U100280,14719,2
U100281,2752,1
U100282,15996,1
U100283,17034,2
U100284,14921,1
U100285,20788,1
U100286,18454,2
U100287,13636,2
U100288,20274,2
U100289,17428,2
U100290,9608,2
U100291,2684,2
U100292,17656,2
U100293,11779,2
U100294,10530,1
U100295,16133,2
U100296,16720,1
U100297,13790,1
U100298,11679,1
U100299,13370,2
U100300,11369,1
U100301,1876,2
U100302,4488,1
U100303,16148,1
U100304,5400,2
U100305,19423,1
U100306,18577,2
U100307,20843,1
U100308,8248,2
U100309,14561,1
U100310,1708,1
U100311,8647,2
U100312,8670,2
U100313,8558,1
U100314,13521,2
U100315,2896,2
U100316,13014,1
U100317,1209,1
U100318,12397,2
U100319,3679,1
U100320,14810,2
U100321,1719,2
U100322,6025,2
U100323,14203,2
U100324,19704,2
U100325,19180,1
U100326,16497,2
U100327,3754,1
U100328,4355,2
U100329,9570,2
U100330,15747,1
U100331,20363,2
U100332,97,2
U100333,3150,1
U100334,7246,2
U100335,5569,2
U100336,6003,2
U100337,16043,2
U100338,8678,1
U100339,12077,1
U100340,2808,2
U100341,12265,1
U100342,11485,2
U100343,17590,2
U100344,10205,2
U100345,16066,2
U100346,16997,2
U100347,2822,2
U100348,5736,2
U100349,5322,1
U100350,15931,2
U100351,18079,1
U100352,9722,1
U100353,8716,1
U100354,9614,2
U100355,6887,1
U100356,14750,2
U100357,3163,2
U100358,2512,2
U100359,301,2
U100360,2667,2
U100361,3967,1
U100362,17868,2
U100363,12130,2
U100364,4283,2
U100365,19736,2
U100366,17671,2
U100367,6777,1
U100368,1350,2
U100369,12601,2
U100370,13817,1
U100371,4590,2
U100372,14937,1
U100373,20187,2
U100374,12825,1
U100375,13569,1
U100376,9277,2
U100377,20703,2
U100378,13261,2
U100379,1148,2
U100380,9118,1
U100381,14565,1
U100382,2988,1
U100383,1014,1
U100384,9777,1
U100385,10120,2
U100386,18305,2
U100387,4510,2
U100388,1833,1
U100389,16569,1
U100390,12027,2
U100391,6848,2
U100392,13768,2
U100393,13719,2
U100394,8801,2
U100395,10878,2
U100396,19318,1
U100397,19478,1
U100398,9245,2
U100399,13799,2
U100400,9609,2
U100401,8813,2
U100402,15252,2
U100403,6871,2
U100404,13324,2
U100405,20130,2
U100406,2698,2
U100407,17322,1
U100408,3540,2
U100409,11645,2
U100410,9686,1
U100411,5469,2
U100412,17139,1
U100413,2886,2
U100414,177,2
U100415,11834,2
U100416,15415,2
U100417,9270,2
U100418,2333,1
U100419,9978,2
U100420,1105,2
U100421,20055,1
U100422,12238,2
U100423,5273,2
U100424,12124,2
U100425,19373,2
U100426,8175,1
U100427,4703,1
U100428,18556,1
U100429,7187,1
U100430,6309,2
U100431,1983,1
U100432,5167,2
U100433,2788,2
U100434,1158,2
U100435,17342,1
U100436,14793,2
U100437,1842,2
U100438,14745,1
U100439,11105,2
U100440,3051,2
U100441,8118,2
U100442,785,2
U100443,15592,2
U100444,12557,2
U100445,744,2
U100446,6439,2
U100447,15714,2
U100448,10334,2
U100449,19008,2
U100450,1657,2
U100451,10420,2
U100452,63,1
U100453,3903,2
U100454,15605,2
U100455,17221,2
U100456,13,1
U100457,12190,2
U100458,591,1
U100459,9893,2
U100460,9990,1
U100461,16269,2
U100462,1829,1
U100463,14450,2
U100464,7638,1
U100465,6683,2
U100466,1262,2
U100467,2002,2
U100468,852,2
U100469,3047,2
U100470,2746,2
U100471,2539,1
U100472,18210,2
U100473,9392,1
U100474,19006,2
U100475,10442,2
U100476,8941,2
U100477,15716,2
U100478,11451,2
U100479,20856,1
U100480,15161,1
U100481,618,1
U100482,6293,2
U100483,1869,2
U100484,14935,2
U100485,11923,2
U100486,9249,2
U100487,7377,2
U100488,1902,2
U100489,15321,2
U100490,14532,2
U100491,5030,1
U100492,6612,2
U100493,14469,1
U100494,12635,2
U100495,15665,1
U100496,14293,1
U100497,703,1
U100498,12871,2
U100499,8504,1
U100500,5192,1
U100501,7601,2
U100502,15926,1
U100503,19997,1
U100504,19791,2
U100505,9985,1
U100506,10951,2
U100507,6570,1
U100508,17602,1
U100509,5117,2
U100510,15337,1
U100511,3476,2
U100512,8024,2
U100513,3882,1
U100514,7415,1
U100515,13257,2
U100516,9806,1
U100517,18537,1
U100518,6523,2
U100519,15839,1
U100520,95,2
U100521,10778,2
U100522,9543,2
U100523,148,1
U100524,10804,1
U100525,1912,2
U100526,1638,2
U100527,15233,1
U100528,14147,2
U100529,16146,1
U100530,6242,2
U100531,19703,1
U100532,14102,2
U100533,17444,1
U100534,11910,1
U100535,13027,2
U100536,10532,2
U100537,16851,1
U100538,11597,2
U100539,19185,1
U100540,5857,2
U100541,20826,2
U100542,14494,2
U100543,5220,2
U100544,10436,1
U100545,1467,2
U100546,5508,1
U100547,3304,2
U100548,6920,2
U100549,11058,2
U100550,79,2
U100551,19258,2
U100552,8244,1
U100553,17293,2
U100554,2215,1
U100555,10709,2
U100556,5773,1
U100557,3017,2
U100558,16751,1
U100559,11843,1
U100560,14906,2
U100561,1180,2
U100562,13237,1
U100563,20092,2
U100564,2470,1
U100565,7261,1
U100566,9324,2
U100567,8347,1
U100568,17404,2
U100569,20544,2
U100570,17017,1
U100571,9519,2
U100572,16180,1
U100573,7484,1
U100574,20036,2
U100575,10280,1
U100576,5057,2
U100577,6714,2
U100578,728,2
U100579,12989,2
U100580,14692,2
U100581,12357,1
U100582,11728,2
U100583,5096,1
U100584,15601,2
U100585,4862,2
U100586,2872,2
U100587,1556,2
U100588,3843,2
U100589,18722,2
U100590,20786,1
U100591,2927,1
U100592,17700,2
U100593,16685,1
U100594,6013,2
U100595,11435,1
U100596,1726,2
U100597,7503,2
U100598,10797,1
U100599,14197,1
U100600,6004,1
U100601,19174,1
U100602,16423,1
U100603,19379,2
U100604,9125,2
U100605,8693,2
U100606,8216,1
U100607,9490,2
U100608,14308,2
U100609,2004,2
U100610,11457,1
U100611,5790,1
U100612,5146,1
U100613,3036,2
U100614,17705,2
U100615,6552,2
U100616,3539,1
U100617,7312,2
U100618,13398,1
U100619,15995,2
U100620,19472,2
U100621,15978,2
U100622,14300,2
U100623,2671,2
U100624,15642,2
U100625,12487,2
U100626,13258,2
U100627,3598,1
U100628,16849,1
U100629,11806,1
U100630,10033,1
U100631,911,1
U100632,733,2
U100633,19678,2
U100634,17786,2
U100635,17825,1
U100636,9996,1
U100637,8004,2
U100638,17401,2
U100639,9976,1
U100640,9993,2
U100641,15067,2
U100642,12091,2
U100643,4205,2
U100644,13024,2
U100645,9446,1
U100646,12249,2
U100647,3401,1
U100648,20013,1
U100649,82,2
U100650,2583,2
U100651,9915,2
U100652,16891,2
U100653,485,2
U100654,784,2
U100655,5871,2
U100656,4683,2
U100657,12318,2
U100658,19972,2
U100659,17308,2
U100660,20293,1
U100661,4116,2
U100662,17689,2
U100663,19938,2
U100664,17430,1
U100665,13773,1
U100666,20510,2
U100667,1647,2
U100668,18062,2
U100669,18710,2
U100670,4110,2
U100671,9834,2
U100672,15641,1
U100673,5106,2
U100674,3267,2
U100675,5717,1
U100676,19776,1
U100677,10475,1
U100678,2169,1
U100679,14676,1
U100680,12296,1
U100681,7265,2
U100682,19721,2
U100683,17300,1
U100684,13734,2
U100685,5243,2
U100686,15078,1
U100687,1875,2
U100688,13070,2
U100689,6317,1
U100690,14034,2
U100691,10658,2
U100692,18727,1
U100693,12268,2
U100694,11521,2
U100695,9755,2
U100696,15966,2
U100697,17488,2
U100698,1966,1
U100699,1613,2
U100700,8417,1
U100701,20414,2
U100702,6898,2
U100703,6452,2
U100704,6821,2
U100705,8107,1
U100706,6811,2
U100707,14647,2
U100708,594,2
U100709,209,1
U100710,15382,1
U100711,12533,2
U100712,3143,2
U100713,216,1
U100714,316,1
U100715,7152,2
U100716,2142,1
U100717,14192,2
U100718,9728,1
U100719,14696,1
U100720,20710,2
U100721,3503,1
U100722,5428,1
U100723,6088,1
U100724,16878,2
U100725,14853,1
U100726,7572,1
U100727,12010,2
U100728,13693,1
U100729,3601,1
U100730,3790,1
U100731,9368,1
U100732,8649,2
U100733,20693,1
U100734,16600,1
U100735,3819,2
U100736,3798,1
U100737,3698,2
U100738,15620,2
U100739,610,2
U100740,11263,2
U100741,8048,2
U100742,18265,2
U100743,19707,2
U100744,10748,2
U100745,6461,2
U100746,12850,1
U100747,19163,2
U100748,11188,2
U100749,11169,1
U100750,6614,2
U100751,4908,2
U100752,12332,2
U100753,14846,2
U100754,9991,1
U100755,8698,2
U100756,4740,2
U100757,15100,2
U100758,3363,1
U100759,901,2
U100760,1444,2
U100761,17522,2
U100762,4390,1
U100763,16210,2
U100764,7339,2
U100765,6501,2
U100766,2186,1
U100767,7397,2
U100768,18952,2
U100769,15515,1
U100770,2154,1
U100771,4093,2
U100772,11248,1
U100773,5026,1
U100774,20331,2
U100775,20444,1
U100776,11513,2
U100777,2574,2
U100778,4254,2
U100779,7988,2
U100780,10956,2
U100781,19549,1
U100782,6337,1
U100783,1952,2
U100784,5053,1
U100785,18759,2
U100786,15518,1
U100787,17116,2
U100788,139,2
U100789,226,2
U100790,2116,2
U100791,4326,2
U100792,2601,1
U100793,11243,1
U100794,20568,2
U100795,7118,1
U100796,787,2
U100797,11274,1
U100798,17238,1
U100799,18495,1
U100800,1689,2
U100801,19282,1
U100802,6600,1
U100803,8914,1
U100804,3034,1
U100805,1009,1
U100806,3758,2
U100807,12967,2
U100808,13544,2
U100809,772,1
U100810,11999,2
U100811,19913,2
U100812,3230,1
U100813,5223,2
U100814,8802,2
U100815,9822,2
U100816,4835,2
U100817,9219,2
U100818,20701,2
U100819,379,2
U100820,9251,2
U100821,10821,1
U100822,1903,1
U100823,10383,2
U100824,19026,1
U100825,14611,2
U100826,4230,1
U100827,16216,2
U100828,1164,2
U100829,17958,1
U100830,11929,1
U100831,13750,2
U100832,16651,1
U100833,19746,1
U100834,12127,1
U100835,10864,1
U100836,10118,2
U100837,12196,1
U100838,11306,2
U100839,16691,1
U100840,7690,1
U100841,261,1
U100842,6203,2
U100843,6505,2
U100844,1730,2
U100845,14118,1
U100846,6425,1
U100847,2314,1
U100848,12213,1
U100849,6876,1
U100850,890,1
U100851,2151,1
U100852,4453,1
U100853,9683,2
U100854,4708,1
U100855,951,2
U100856,8058,2
U100857,9175,2
U100858,20772,2
U100859,3431,2
U100860,20660,2
U100861,9335,2
U100862,2517,1
U100863,16768,2
U100864,10692,2
U100865,10324,2
U100866,9974,1
U100867,15139,2
U100868,18700,1
U100869,10539,1
U100870,16517,2
U100871,489,1
U100872,11207,2
U100873,12954,2
U100874,2768,2
U100875,12503,2
U100876,20138,2
U100877,10182,2
U100878,7623,1
U100879,14045,2
U100880,16081,1
U100881,16635,1
U100882,19903,2
U100883,12033,2
U100884,8282,1
U100885,12356,1
U100886,16850,2
U100887,18181,1
U100888,10015,1
U100889,14987,2
U100890,13499,1
U100891,13783,2
U100892,14522,2
U100893,18131,2
U100894,14230,2
U100895,13717,1
U100896,17708,2
U100897,9878,2
U100898,4152,2
U100899,18075,1
U100900,12062,2
U100901,5646,1
U100902,12035,2
U100903,12583,1
U100904,20577,2
U100905,16641,2
U100906,11291,1
U100907,6070,2
U100908,17382,2
U100909,3011,2
U100910,4893,2
U100911,8604,1
U100912,7628,2
U100913,837,2
U100914,9449,1
U100915,18244,1
U100916,10384,2
U100917,12900,2
U100918,960,2
U100919,12072,1
U100920,8505,2
U100921,4306,1
U100922,5932,2
U100923,18846,1
U100924,7457,2
U100925,3239,1
U100926,18885,2
U100927,3947,1
U100928,6097,2
U100929,17389,2
U100930,7889,2
U100931,18014,2
U100932,9162,1
U100933,9655,2
U100934,7912,1
U100935,12754,2
U100936,11115,1
U100937,9850,2
U100938,11409,2
U100939,10759,1
U100940,9330,1
U100941,20003,1
U100942,19083,1
U100943,12115,2
U100944,13375,1
U100945,12454,2
U100946,13903,1
U100947,6139,2
U100948,18145,2
U100949,17263,2
U100950,5283,1
U100951,14140,1
U100952,12911,1
U100953,6040,1
U100954,14065,1
U100955,20340,1
U100956,1336,2
U100957,17697,2
U100958,18626,1
U100959,9374,2
U100960,13030,1
U100961,15114,2
U100962,9719,1
U100963,2530,2
U100964,20773,2
U100965,13378,2
U100966,491,2
U100967,9575,2
U100968,7155,2
U100969,13186,2
U100970,18959,2
U100971,5300,1
U100972,9592,2
U100973,12573,1
U100974,10772,2
U100975,1016,1
U100976,4864,2
U100977,832,2
U100978,8755,2
U100979,20515,2
U100980,696,2
U100981,5777,1
U100982,771,2
U100983,15354,1
U100984,8800,2
U100985,2972,1
U100986,2421,2
U100987,2302,2
U100988,12729,1
U100989,8546,2
U100990,15783,2
U100991,7959,2
U100992,6859,2
U100993,7941,2
U100994,6596,2
U100995,18035,2
U100996,18348,2
U100997,13153,2
U100998,1082,2
U100999,7812,2
U101000,17576,1
U101001,3109,2
U101002,7470,2
U101003,12839,1
U101004,19231,2
U101005,1172,2
U101006,15879,2
U101007,10975,2
U101008,5764,2
U101009,10595,2
U101010,5188,2
U101011,8192,1
U101012,7835,2
U101013,18969,2
U101014,13501,2
U101015,10311,1
U101016,5928,1
U101017,3383,2
U101018,1244,1
U101019,405,2
U101020,12773,2
U101021,15355,1
U101022,14868,2
U101023,448,2
U101024,3998,2
U101025,18330,1
U101026,20692,2
U101027,18923,2
U101028,17092,2
U101029,16658,1
U101030,3902,2
U101031,3028,2
U101032,18878,2
U101033,1228,2
U101034,6372,2
U101035,20800,2
U101036,4513,1
U101037,6719,2
U101038,20023,2
U101039,19018,1
U101040,1671,2
U101041,15850,2
U101042,18900,2
U101043,7452,2
U101044,2556,2
U101045,1253,2
U101046,8968,2
U101047,4411,1
U101048,14456,2
U101049,1393,2
U101050,16750,1
U101051,13580,2
U101052,9676,2
U101053,2816,2
U101054,9424,2
U101055,9168,2
U101056,2324,2
U101057,11240,1
U101058,10919,2
U101059,15273,1
U101060,12640,1
U101061,4643,2
U101062,20548,1
U101063,18599,1
U101064,6969,2
U101065,15181,2
U101066,4380,2
U101067,447,2
U101068,17778,1
U101069,7275,1
U101070,15267,1
U101071,1480,1
U101072,17952,2
U101073,13674,1
U101074,7162,2
U101075,20047,2
U101076,9181,2
U101077,11006,2
U101078,5306,2
U101079,3971,1
U101080,17533,1
U101081,8480,1
U101082,9037,1
U101083,14185,2
U101084,3845,2
U101085,12495,2
U101086,6749,2
U101087,348,2
U101088,7179,2
U101089,8873,2
U101090,716,2
U101091,14740,2
U101092,8256,2
U101093,13777,2
U101094,14792,1
U101095,16628,2
U101096,462,1
U101097,4619,1
U101098,1050,2
U101099,1661,2
U101100,18155,2
U101101,6696,2
U101102,15666,2
U101103,1626,2
U101104,2178,1
U101105,15122,1
U101106,11702,1
U101107,18654,2
U101108,15846,1
U101109,12201,2
U101110,12303,2
U101111,6183,2
U101112,14382,2
U101113,15848,2
U101114,4421,1
U101115,12097,2
U101116,18085,2
U101117,18924,1
U101118,15023,2
U101119,11152,1
U101120,8194,2
U101121,11547,2
U101122,20478,2
U101123,10126,2
U101124,14423,1
U101125,9408,2
U101126,11209,2
U101127,8254,2
U101128,1072,2
U101129,18442,2
U101130,17867,1
U101131,16001,2
U101132,6494,2
U101133,3723,2
U101134,9256,1
U101135,10679,1
U101136,4975,2
U101137,10395,2
U101138,14705,1
U101139,19902,2
U101140,2270,1
U101141,4268,2
U101142,20395,2
U101143,10914,2
U101144,3450,2
U101145,19421,2
U101146,20346,1
U101147,2609,2
U101148,4731,1
U101149,1116,1
U101150,20112,2
U101151,1775,2
U101152,8019,2
U101153,17609,2
U101154,14954,2
U101155,15271,2
U101156,11850,2
U101157,8969,2
U101158,2099,1
U101159,4163,1
U101160,12447,2
U101161,18529,2
U101162,20296,2
U101163,416,2
U101164,19480,2
U101165,15371,1
U101166,6912,2
U101167,13216,2
U101168,616,2
U101169,5191,1
U101170,19727,1
U101171,20501,2
U101172,14919,2
U101173,2654,1
U101174,1957,1
U101175,11214,1
U101176,19843,2
U101177,19944,1
U101178,8951,2
U101179,15755,1
U101180,276,2
U101181,11647,1
U101182,10768,1
U101183,14458,2
U101184,11526,1
U101185,14731,1
U101186,15150,2
U101187,9155,2
U101188,16713,2
U101189,2901,2
U101190,11125,2
U101191,1375,1
U101192,10031,1
U101193,6994,2
U101194,2812,1
U101195,11545,1
U101196,7456,2
U101197,7184,2
U101198,3756,1
U101199,12815,2
U101200,14506,2
U101201,17758,1
U101202,14061,2
U101203,10756,2
U101204,19376,2
U101205,6348,1
U101206,8478,2
U101207,8937,2
U101208,15222,1
U101209,6717,1
U101210,17721,2
U101211,10162,2
U101212,2232,2
U101213,17987,2
U101214,6443,2
U101215,8892,2
U101216,9812,1
U101217,4098,2
U101218,6547,2
U101219,18226,1
U101220,18414,2
U101221,8868,1
U101222,5828,2
U101223,15504,1
U101224,7030,2
U101225,789,2
U101226,20082,2
U101227,876,1
U101228,15909,2
U101229,9091,1
U101230,12320,2
U101231,9286,2
U101232,3500,2
U101233,10866,2
U101234,7004,2
U101235,6733,1
U101236,8610,2
U101237,10717,2
U101238,4759,2
U101239,9030,2
U101240,15058,2
U101241,10959,1
U101242,8228,1
U101243,10310,2
U101244,15198,1
U101245,11652,1
U101246,16616,1
U101247,7363,1
U101248,14881,1
U101249,932,1
U101250,15401,2
U101251,1044,2
U101252,17910,2
U101253,4058,2
U101254,13163,1
U101255,11846,2
U101256,9631,2
U101257,2399,2
U101258,1948,1
U101259,493,2
U101260,12064,2
U101261,10364,2
U101262,10004,2
U101263,2434,2
U101264,9778,2
U101265,3186,2
U101266,17505,1
U101267,10289,2
U101268,6862,2
U101269,4523,1
U101270,10739,1
U101271,17596,2
U101272,9907,1
U101273,10346,2
U101274,20332,1
U101275,7418,2
U101276,5900,2
U101277,3132,2
U101278,486,2
U101279,19320,1
U101280,18635,1
U101281,20559,2
U101282,12086,2
U101283,8177,2
U101284,6328,1
U101285,6199,2
U101286,6430,1
U101287,17015,1
U101288,15053,1
U101289,9696,2
U101290,7516,1
U101291,9243,2
U101292,8341,2
U101293,9869,1
U101294,16703,2
U101295,5355,1
U101296,674,1
U101297,4064,2
U101298,20539,2
U101299,18827,2
U101300,13410,2
U101301,6228,2
U101302,19073,2
U101303,17103,2
U101304,16105,2
U101305,11947,2
U101306,18239,2
U101307,19359,2
U101308,19046,2
U101309,5432,1
U101310,18544,1
U101311,13678,1
U101312,9216,2
U101313,20237,2
U101314,17000,2
U101315,8320,2
U101316,11329,2
U101317,10902,1
U101318,10788,2
U101319,13453,2
U101320,8485,2
U101321,3126,2
U101322,14135,2
U101323,5144,2
U101324,11973,2
U101325,2492,2
U101326,2301,2
U101327,6051,1
U101328,19803,1
U101329,10850,2
U101330,13793,1
U101331,9888,2
U101332,14726,2
U101333,2516,2
U101334,15002,2
U101335,2031,1
U101336,5164,1
U101337,6822,2
U101338,5349,2
U101339,11253,1
U101340,20719,1
U101341,6128,1
U101342,18592,2
U101343,14751,2
U101344,2835,2
U101345,4460,2
U101346,14849,2
U101347,16472,1
U101348,10907,1
U101349,20822,1
U101350,936,1
U101351,15778,2
U101352,11340,1
U101353,13934,2
U101354,895,1
U101355,8710,2
U101356,20498,2
U101357,6965,1
U101358,18578,1
U101359,825,2
U101360,13286,2
U101361,18619,2
U101362,11013,2
U101363,5930,2
U101364,13670,2
U101365,4239,1
U101366,12217,2
U101367,12421,2
U101368,5270,2
U101369,19101,1
U101370,17713,2
U101371,3044,2
U101372,2595,1
U101373,15082,2
U101374,13726,2
U101375,9409,1
U101376,17376,2
U101377,4826,2
U101378,14755,1
U101379,1219,1
U101380,13564,1
U101381,11655,2
U101382,15061,2
U101383,10050,2
U101384,13975,1
U101385,11040,2
U101386,6379,1
U101387,19052,2
U101388,18216,2
U101389,14019,2
U101390,5062,2
U101391,6149,1
U101392,16811,2
U101393,16410,2
U101394,9823,2
U101395,11819,2
U101396,20728,1
U101397,20650,2
U101398,5918,1
U101399,5040,1
U101400,3748,2
U101401,4383,1
U101402,12142,2
U101403,16706,1
U101404,5132,1
U101405,17079,1
U101406,14505,2
U101407,10940,2
U101408,11111,2
U101409,13746,2
U101410,441,2
U101411,5979,1
U101412,15104,2
U101413,17483,2
U101414,7585,2
U101415,9495,1
U101416,2405,1
U101417,835,2
U101418,18010,2
U101419,2141,2
U101420,15374,2
U101421,16896,1
U101422,18787,2
U101423,7755,2
U101424,20840,2
U101425,11736,2
U101426,326,2
U101427,17314,2
U101428,427,2
U101429,2668,1
U101430,7250,2
U101431,15458,2
U101432,19223,2
U101433,18022,2
U101434,3412,1
U101435,15083,2
U101436,3092,2
U101437,7434,1
U101438,15019,2
U101439,5204,2
U101440,10081,2
U101441,18906,2
U101442,4366,1
U101443,1247,2
U101444,20665,2
U101445,6768,2
U101446,13250,1
U101447,6728,2
U101448,1225,2
U101449,20257,2
U101450,5934,1
U101451,6400,1
U101452,13464,1
U101453,13200,2
U101454,5746,2
U101455,18915,2
U101456,19040,2
U101457,904,2
U101458,10860,2
U101459,11859,2
U101460,19080,2
U101461,2433,1
U101462,5793,2
U101463,17044,2
U101464,20552,2
U101465,13864,1
U101466,11049,1
U101467,9440,2
U101468,20531,2
U101469,10008,1
U101470,5838,2
U101471,16697,2
U101472,7341,2
U101473,6422,2
U101474,14551,1
U101475,12876,1
U101476,181,2
U101477,5173,2
U101478,18545,2
U101479,17150,2
U101480,1269,1
U101481,5436,1
U101482,14149,2
U101483,663,2
U101484,14109,1
U101485,892,2
U101486,3254,2
U101487,5795,2
U101488,10258,2
U101489,13459,2
U101490,602,1
U101491,17422,2
U101492,17884,1
U101493,9432,2
U101494,16027,1
U101495,15397,1
U101496,1814,2
U101497,9018,2
U101498,782,1
U101499,8556,2
U101500,13256,2
U101501,11943,2
U101502,743,2
U101503,5975,2
U101504,7717,2
U101505,7462,1
U101506,1801,1
U101507,6723,2
U101508,2109,2
U101509,3364,1
U101510,11749,1
U101511,11893,2
U101512,9502,2
U101513,20264,1
U101514,9287,2
U101515,14471,2
U101516,6111,1
U101517,4952,2
U101518,13486,2
U101519,1472,1
U101520,4620,2
U101521,2985,2
U101522,16985,1
U101523,9443,1
U101524,5866,1
U101525,19557,2
U101526,4988,2
U101527,4482,1
U101528,7691,2
U101529,16400,2
U101530,17749,1
U101531,1979,2
U101532,7306,1
U101533,7935,1
U101534,17053,2
U101535,1573,2
U101536,9511,2
U101537,9301,2
U101538,6463,2
U101539,12208,1
U101540,391,2
U101541,13154,1
U101542,7342,2
U101543,10832,1
U101544,7408,2
U101545,4073,2
U101546,7915,2
U101547,14005,1
U101548,20864,1
U101549,7972,2
U101550,17622,2
U101551,16436,2
U101552,3530,2
U101553,12118,1
U101554,8344,2
U101555,18829,2
U101556,7542,2
U101557,14796,2
U101558,7862,2
U101559,14234,1
U101560,17927,2
U101561,8080,1
U101562,5722,2
